BATTERS - CLE,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
KwanDH,2,0,0,0,1,0,0,.295,.763
"Rosario, ASS",4,0,2,1,0,0,1,.283,.724
"Ramírez, Jo3B",3,0,0,0,1,1,2,.278,.872
"Naylor, J1B",4,0,0,0,0,1,3,.258,.773
"Gonzalez, ORF",4,2,2,2,0,1,0,.291,.794
Gimenez2B,4,1,2,1,0,0,0,.305,.861
BrennanLF,4,0,0,0,0,1,1,.267,.580
HedgesC,4,0,0,0,0,0,1,.169,.504
StrawCF,2,1,0,0,1,1,1,.216,.559
,31,4,6,4,3,5,9,,
