BATTERS - TEX,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Semien2B,3,1,2,1,1,0,0,.254,.750
SeagerSS,4,0,1,0,0,0,2,.247,.781
"Lowe, N1B",3,0,0,0,1,2,1,.305,.855
HeimDH,4,0,1,0,0,0,3,.229,.705
Jung3B,3,0,0,0,1,0,1,.172,.579
TaverasCF,3,0,1,0,0,1,0,.267,.684
HuffC,4,1,2,1,0,1,3,.245,.650
"Smith, JoshLF",4,0,0,0,0,0,4,.205,.572
"Thompson, BRF",3,0,0,0,0,1,0,.277,.650
a-CalhounPH,1,0,0,0,0,0,0,.202,.606
,32,2,7,2,3,5,14,,
