BATTERS - PIT,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
MarcanoLF,4,0,0,0,0,1,1,.219,.601
Newman2B,4,3,3,0,0,1,1,.276,.691
"Reynolds, BCF",4,3,3,4,0,1,0,.265,.829
GamelDH,4,0,1,2,0,0,0,.241,.707
"Castro, R3B",4,0,0,0,0,0,1,.223,.655
"Cruz, OSS",4,0,1,0,0,2,0,.197,.635
"Allen, GRF",2,1,0,0,2,1,1,.164,.497
Madris1B,2,0,0,0,0,0,1,.167,.473
a-ChavisPH-1B,2,1,1,1,0,0,1,.247,.701
HeinemanC,4,0,1,1,0,0,2,.214,.514
,34,8,10,8,2,6,8,,
