BATTERS - OAK,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
KempDH,4,0,0,0,0,3,2,.250,.615
Neuse3B,4,0,2,1,0,1,0,.327,.801
"Murphy, SC",3,0,0,0,1,3,2,.232,.773
PiscottyRF,4,0,0,0,0,1,2,.240,.745
Bethancourt1B,4,0,1,0,0,1,1,.206,.523
AndrusSS,4,0,0,0,0,2,1,.193,.608
PacheCF,3,1,1,0,1,0,1,.211,.570
"Lopes, CLF-2B",4,0,0,0,0,3,2,.000,.100
"Allen, N2B",1,1,0,0,1,1,0,.133,.502
"a-Brown, SPH-LF",1,0,1,1,0,0,0,.196,.655
,32,2,5,2,3,15,11,,
