BATTERS - SF,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
PedersonRF,2,0,0,0,0,1,0,.347,1.132
a-SlaterPH-CF-RF,2,1,1,3,0,0,0,.233,.791
Belt1B,4,1,2,0,0,2,0,.258,.887
RufLF,4,0,0,0,0,1,2,.154,.471
DubónCF,0,0,0,0,0,0,0,.150,.343
"Crawford, BraSS",1,2,0,0,2,0,0,.226,.653
FloresDH,4,2,2,4,0,0,2,.283,.800
"Gonzalez, LCF-RF-LF",4,0,1,0,0,0,0,.294,.749
Estrada2B,4,1,1,1,0,0,1,.258,.690
Vosler3B,3,1,0,0,1,0,2,.222,.578
BartC,3,0,0,0,0,2,3,.158,.646
,31,8,7,8,3,6,10,,
