PITCHERS - SF,IP,H,R,ER,BB,SO,HR,ERA
"Rodón(W, 3-0)",6.0,3,1,1,2,9,0,1.17
Leone,0.2,2,1,1,0,1,0,2.57
"García, J(H, 1)",0.1,0,0,0,0,1,0,0.00
"Marte, Y",1.0,0,0,0,0,1,0,1.50
"Castro, K",1.0,0,0,0,1,3,0,0.00
,9.0,5,2,2,3,15,0,
