BATTERS - TB,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Díaz, Y3B",3,2,0,0,2,0,1,.283,.789
"Lowe, BDH",5,1,3,3,0,1,1,.253,.787
Paredes2B,4,1,0,0,1,0,3,.210,.754
Choi1B,3,1,2,0,2,0,1,.259,.772
ArozarenaRF,5,0,4,2,0,0,1,.258,.739
PeraltaLF,5,0,1,0,0,1,6,.248,.765
QuinnLF,0,0,0,0,0,0,0,.190,.542
SiriCF,4,0,1,0,0,2,3,.178,.535
WallsSS,4,0,0,0,0,1,1,.171,.538
BethancourtC,4,1,1,0,0,1,0,.234,.643
,37,6,12,5,5,6,17,,
