BATTERS - DET,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Greene, RCF",3,0,0,1,0,0,1,.237,.638
"Báez, JSS",4,0,2,1,0,1,0,.224,.649
"Cabrera, MDH",4,0,0,0,0,1,3,.268,.649
HaaseC,4,0,1,0,0,2,3,.236,.698
Candelario3B,4,0,1,0,0,0,1,.205,.628
Schoop2B,4,0,0,0,0,3,2,.205,.550
CameronRF,4,1,1,0,0,0,2,.233,.659
"Castro, H1B",3,1,1,0,0,0,1,.285,.722
"Reyes, VLF",3,0,0,0,0,1,3,.271,.657
,33,2,6,2,0,8,16,,
