PITCHERS - CHC,IP,H,R,ER,BB,SO,HR,ERA
Swarmer,6.0,5,4,1,1,6,2,1.50
"Norris(L, 0-3)",2.0,2,3,3,1,1,1,5.82
Gsellman,1.0,0,0,0,0,1,0,4.70
,9.0,7,7,4,2,8,3,
