BATTERS - MIL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Wong, Ko2B",3,1,1,0,1,1,0,.224,.668
"Urías, LSS",4,2,1,3,0,1,2,.261,.784
YelichLF,4,0,0,0,0,1,3,.229,.694
Tellez1B,4,0,0,0,0,0,1,.241,.806
"Taylor, TCF",4,1,1,2,0,1,0,.250,.745
NarváezC,4,1,1,0,0,1,0,.275,.790
HiuraDH,3,0,1,1,0,1,0,.254,.861
PetersonRF,2,1,1,1,0,1,0,.218,.713
a-McCutchenPH-RF,2,0,0,0,0,0,1,.229,.613
Brosseau3B,3,1,1,0,1,1,0,.300,.849
,33,7,7,7,2,8,7,,
