BATTERS - BAL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
MullinsCF,5,1,1,0,0,3,3,.265,.730
RutschmanC,4,1,1,0,1,2,0,.259,.821
SantanderDH,5,0,3,1,0,0,2,.261,.796
Mountcastle1B,4,0,0,0,0,1,4,.248,.723
StowersLF,4,0,0,0,0,4,3,.167,.433
Nevin3B,0,0,0,0,0,0,0,.196,.557
"Urías, R3B",3,0,1,1,1,1,0,.252,.718
1-McKennaPR-LF,0,1,0,0,0,0,0,.260,.690
HaysRF,2,1,0,0,1,0,2,.256,.739
Odor2B,1,1,0,0,2,1,0,.203,.632
MateoSS,4,0,2,3,0,1,2,.234,.695
,32,5,8,5,5,13,16,,
