PITCHERS - BOS,IP,H,R,ER,BB,SO,HR,ERA
Pivetta,5.2,6,2,2,1,9,0,4.24
Strahm,0.2,0,0,0,1,1,0,3.38
"Barnes, M(L, 0-4)",1.0,1,1,1,1,2,0,6.29
Schreiber,0.0,1,2,2,1,0,0,2.39
"Davis, A",0.2,0,0,0,1,1,0,5.22
,8.0,8,5,5,5,13,0,
