BATTERS - WSH,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
RoblesCF,5,1,1,0,0,2,3,.235,.616
Hernández2B,4,1,2,1,1,2,0,.242,.610
"Soto, JRF",4,0,2,2,1,1,1,.248,.895
Bell1B,3,0,0,0,2,0,4,.302,.880
"Cruz, NDH",3,0,0,0,1,2,4,.231,.663
"Hernandez, YLF",4,1,2,1,0,1,2,.269,.732
"Thomas, LLF",0,0,0,0,0,0,0,.223,.655
"García, LSS",4,0,0,0,0,1,3,.277,.674
"Ruiz, KC",3,0,0,0,0,0,1,.249,.660
Adrianza3B,3,1,1,0,1,0,0,.195,.497
,33,4,8,4,6,9,18,,
