BATTERS - TB,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Díaz, Y3B-1B",6,0,0,0,0,2,0,.000,.000
FrancoSS,5,0,1,0,1,1,0,.111,.311
ArozarenaLF,5,0,1,0,1,2,1,.111,.311
"Ramírez, HDH",6,0,0,0,0,2,4,.111,.222
Choi1B,3,0,0,0,1,1,0,.000,.286
1-BrujánPR-2B,2,0,1,0,0,0,1,.500,1.000
Paredes2B,2,0,1,0,1,0,0,.667,1.417
b-WallsPH-3B,3,0,1,0,0,2,2,.200,.400
MargotRF,5,0,1,0,1,1,5,.125,.347
BethancourtC,2,0,0,0,0,1,1,.000,.000
a-PeraltaPH,1,0,0,0,0,1,0,.000,.000
"Mejía, FC",3,0,0,0,0,2,3,.000,.000
SiriCF,6,0,0,0,0,5,2,.111,.555
,49,0,6,0,5,20,19,,
