PITCHERS - WSH,IP,H,R,ER,BB,SO,HR,ERA
"Gray, Js",7.0,4,2,2,1,9,1,3.82
Edwards Jr.,1.0,1,0,0,0,1,0,2.52
"Finnegan(L, 2-2)",0.0,1,1,1,0,0,1,4.18
,8.0,6,3,3,1,10,2,
