PITCHERS - LAD,IP,H,R,ER,BB,SO,HR,ERA
"Urías, J(W, 4-6)",6.0,2,1,0,2,6,0,2.56
Price,1.0,0,0,0,0,1,0,4.30
Bickford,1.0,0,0,0,0,0,0,4.12
Moronta,1.0,0,0,0,0,2,0,2.00
,9.0,2,1,0,2,9,0,
