PITCHERS - CWS,IP,H,R,ER,BB,SO,HR,ERA
"Kopech(L, 2-3)",5.0,7,4,4,1,4,2,2.38
Lambert,1.0,0,0,0,1,0,0,2.84
Velasquez,2.0,1,0,0,1,1,0,4.69
,8.0,8,4,4,3,5,2,
