BATTERS - HOU,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Altuve2B,4,1,1,0,0,0,1,.274,.852
BrantleyLF,3,0,1,0,1,1,1,.297,.814
Bregman3B,4,0,1,0,0,2,3,.218,.710
TuckerRF,4,0,1,1,0,0,3,.260,.840
Gurriel1B,4,0,0,0,0,0,2,.222,.649
MatijevicDH,4,1,1,1,0,1,2,.091,.455
McCormickCF,3,0,0,0,1,0,0,.217,.681
CastroC,3,1,1,0,0,1,1,.108,.351
DubónSS,2,1,2,2,1,0,0,.232,.636
,31,4,8,4,3,5,13,,
