BATTERS - OAK,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
KempLF,4,1,1,0,0,0,0,.234,.638
Machín3B,4,0,0,0,0,2,1,.220,.587
"Murphy, SC",1,0,0,0,1,1,0,.248,.761
"Garcia, Der1B",2,0,0,0,0,2,0,.221,.706
"Brown, SCF",4,0,0,0,0,1,2,.227,.744
"Diaz, J2B",2,0,1,1,1,0,0,.333,.757
CapelRF,2,0,0,0,0,2,2,.304,.896
a-PinderPH-RF,1,0,0,0,0,0,1,.229,.637
Vogt1B-C,3,0,0,0,0,1,1,.158,.538
LangeliersDH,3,0,0,0,0,1,0,.214,.631
"Allen, NSS",3,0,0,0,0,1,0,.208,.542
,29,1,2,1,2,11,7,,
