BATTERS - CHC,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
MorelCF,5,0,1,0,0,1,1,.291,.848
ContrerasC,3,1,1,0,2,1,0,.276,.916
HappLF,5,0,1,0,0,0,5,.270,.822
Schwindel1B,3,0,0,1,0,1,2,.240,.701
Rivas1B,0,0,0,0,0,0,0,.194,.597
b-FrazierPH,1,0,0,0,0,1,1,.222,.670
SimmonsSS,0,0,0,0,0,0,0,.178,.374
Wisdom3B-1B,4,1,2,0,1,0,0,.226,.787
OrtegaDH,3,0,1,0,0,0,0,.269,.743
a-HigginsPH-DH,2,0,1,1,0,0,2,.314,.956
HoernerSS-3B,5,1,2,0,0,0,3,.294,.736
HeywardRF,5,0,1,1,0,1,3,.211,.550
Madrigal2B,5,0,1,0,0,0,2,.222,.520
,41,3,11,3,3,5,19,,
