PITCHERS - STL,IP,H,R,ER,BB,SO,HR,ERA
Wainwright,7.0,9,2,2,2,0,0,2.73
"Cabrera, G(W, 3-1)",4.0,2,1,1,1,5,0,2.16
,11.0,11,3,3,3,5,0,
