BATTERS - COL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
DazaCF,5,0,0,0,0,1,1,.301,.733
McMahon3B,4,0,2,0,0,1,0,.247,.743
RodgersDH,3,0,1,0,1,0,0,.265,.729
"Díaz, EC",4,1,1,0,0,1,4,.228,.650
GrichukRF,4,0,0,0,0,2,5,.260,.724
BouchardLF,4,1,3,0,0,0,0,.313,.959
Trejo2B,4,0,1,1,0,1,2,.271,.736
TovarSS,4,0,0,0,0,2,4,.200,.483
Toglia1B,4,0,1,1,0,3,3,.223,.674
,36,2,9,2,1,11,19,,
