Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2018,23,25.3,,,47,41,526,21.5
2019,24,24.8,4.78,,47,73,581,15.1
2020,25,25.3,4.74,,37,60,418,16.6
2021,26,25.1,4.77,,49,77,555,17.9
2022,27,23.9,4.83,,52,85,615,1.4
