Year,Pitch Type,#,%,PA,AB,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Whiff%,PutAway%
2022,Fastballs,"1,277",53.4,298,259,63,31,15,0,17,51,209,.243,.282,.498,.565,.362,.402,94.0,19,17.5,15.8
2022,Breaking,705,29.5,169,153,34,16,4,0,14,48,105,.222,.220,.523,.429,.351,.316,89.6,15,36.0,19.4
2022,Offspeed,408,17.1,122,116,19,11,4,0,4,22,96,.164,.231,.302,.354,.212,.268,86.5,7,22.7,21.6
2021,Fastballs,689,54.5,166,152,37,23,9,1,4,31,121,.243,.276,.395,.501,.306,.360,96.7,16,19.1,17.0
2021,Breaking,335,26.5,91,86,20,13,3,1,3,24,63,.233,.211,.395,.350,.280,.262,88.1,12,28.4,21.2
2021,Offspeed,241,19.1,64,59,15,9,2,0,4,10,49,.254,.314,.492,.570,.342,.400,86.3,8,27.9,14.7
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
