Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2018,TOR,AL,73,43,14,0,1,.391,13,0,8,268,3.671,.288,.055,.095,.300,1,0
2019,TOR,AL,409,166,170,0,3,.267,40,9,46,1603,3.919,.284,.051,.250,.222,1,0
2020,TOR,AL,127,61,40,0,2,.276,13,1,15,441,3.472,.157,.063,.550,.257,2,0
2021,TOR,AL,151,47,69,0,0,.245,9,3,21,596,3.947,.219,.026,.273,.129,1,0
2021,MIL,NL,174,76,72,0,1,.300,18,3,24,670,3.851,.184,.040,.438,.209,1,1
2021,2 Teams,,325,123,141,0,1,.275,27,6,45,1266,3.895,.200,.034,.354,.172,2,1
2022,MIL,NL,599,244,224,0,3,.215,58,20,85,2392,3.993,.202,.058,.512,.242,4,0
5 Seasons,2 Teams,,1533,637,589,0,10,.255,151,36,199,5970,3.894,.224,.052,.370,.226,10,1
