,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,599,529,67,116,35,89,2,.219,.306,.461,.767
5 Seasons,1533,1379,180,326,79,216,3,.236,.307,.462,.769
