PITCHERS - MIN,IP,H,R,ER,BB,SO,HR,ERA
"Archer(W, 2-3)",5.0,1,0,0,1,5,0,3.14
Cotton,1.0,0,0,0,2,0,0,3.12
Jax,1.0,0,0,0,0,3,0,2.80
Thornburg,2.0,0,0,0,2,2,0,2.08
,9.0,1,0,0,5,10,0,
