BATTERS - MIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Arraez2B,5,1,2,1,0,0,2,.347,.866
BuxtonCF,5,0,1,1,0,1,3,.226,.876
CorreaSS,4,1,1,0,0,1,3,.300,.820
KeplerRF,1,2,0,0,3,0,0,.239,.739
GarlickDH,4,1,2,1,0,2,2,.277,.911
Kirilloff1B,3,0,1,3,0,1,2,.196,.488
SanchezC,4,1,2,0,0,2,2,.218,.699
GordonLF,4,0,1,0,0,0,1,.257,.669
Urshela3B,3,0,0,0,1,0,3,.253,.700
,33,6,10,6,4,7,18,,
