,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2017,COL,NL,17,24,19,2,3,1,0,0,1,5,5,0,0,0,.158,.333,.211,.544
,2018,COL,NL,91,202,181,17,42,9,1,5,19,18,64,1,0,2,.232,.307,.376,.683
,2019,COL,NL,141,539,480,70,120,22,1,24,83,56,160,5,1,1,.250,.329,.450,.779
,2020,COL,NL,52,193,172,23,37,6,1,9,26,18,66,0,1,2,.215,.295,.419,.714
,2021,COL,NL,151,596,528,80,134,32,1,23,86,59,147,6,2,4,.254,.331,.449,.780
,2022,COL,NL,153,597,529,67,130,23,3,20,67,60,158,7,3,5,.246,.327,.414,.741
,6 Seasons,COL,NL,605,2151,1909,259,466,93,7,81,282,216,600,19,7,14,.244,.324,.427,.751
