PITCHERS - PIT,IP,H,R,ER,BB,SO,HR,ERA
Brubaker,6.0,9,3,3,0,6,0,4.14
"Crowe(H, 5)",1.0,1,0,0,0,2,0,3.27
"De Jong(H, 1)",1.0,2,1,1,1,2,1,1.93
"Bednar(L, 3-2)(BS, 3)",0.2,2,2,2,2,1,0,1.78
,8.2,14,6,6,3,11,1,
