BATTERS - DET,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Castro, WCF-LF",3,1,0,0,0,1,0,.275,.664
"Castro, HSS",3,0,1,0,1,1,0,.316,.859
Schoop2B,3,0,1,1,0,1,1,.198,.578
"Cabrera, MDH",3,0,0,0,0,2,2,.286,.712
Torkelson1B,3,0,1,0,0,0,2,.203,.636
ClemensLF,3,0,0,0,0,1,0,.000,.100
"Hill, DCF",0,0,0,0,0,0,0,.243,.589
Candelario3B,3,0,0,0,0,0,0,.189,.576
HaaseC,3,1,1,0,0,0,0,.173,.502
CameronRF,3,1,1,2,0,0,0,.195,.576
,27,3,5,3,1,6,5,,
