BATTERS - MIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Arraez1B,5,0,0,0,0,0,2,.340,.821
BuxtonCF,3,0,1,0,1,0,0,.207,.773
KeplerDH,4,0,0,0,0,1,4,.253,.786
Polanco2B,3,0,0,0,1,1,2,.224,.671
LarnachRF,3,1,0,0,1,1,1,.282,.846
SanchezC,3,0,0,0,1,3,1,.224,.723
GordonLF,3,1,2,1,1,0,2,.257,.651
Urshela3B,4,0,1,1,0,1,2,.268,.723
PalaciosSS,3,0,1,0,0,2,1,.167,.398
a-GarlickPH,1,0,0,0,0,0,0,.211,.731
,32,2,5,2,5,9,15,,
