BATTERS - PHI,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SchwarberLF,2,0,0,0,1,1,2,.211,.815
1-MarshPR-CF,2,0,1,0,0,0,3,.229,.638
Hoskins1B,3,0,0,0,1,1,0,.249,.828
Bohm3B,4,0,1,0,0,2,2,.293,.738
"Hall, DDH",3,0,1,0,0,1,0,.275,.900
a-RealmutoPH-DH,1,0,0,0,0,1,2,.267,.789
"Castellanos, NRF",4,0,1,0,0,2,2,.254,.678
StottSS,4,0,2,0,0,1,0,.211,.604
Segura2B,3,0,0,0,1,2,1,.280,.741
StubbsC,3,0,1,0,0,0,1,.273,.827
"b-Sosa, EPH",1,0,0,0,0,1,3,.185,.517
VierlingCF-LF,3,0,0,0,1,1,3,.227,.625
,33,0,7,0,4,13,19,,
