PITCHERS - DET,IP,H,R,ER,BB,SO,HR,ERA
"Alexander, T(W, 3-7)",6.0,7,3,3,1,2,1,4.03
"Lange(H, 16)",1.0,0,0,0,0,2,0,3.54
"Jiménez, J(H, 10)",1.0,0,0,0,0,2,0,3.40
"Soto, G(S, 23)",1.0,0,0,0,1,0,0,3.09
,9.0,7,3,3,2,6,1,
