BATTERS - LAA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
OhtaniDH,4,1,2,0,0,2,0,.266,.874
TroutCF,4,0,0,0,0,1,2,.266,.948
Rengifo3B,4,1,2,1,0,1,0,.272,.741
WardRF,3,0,0,0,1,2,1,.259,.796
Fletcher2B,4,0,1,0,0,0,2,.279,.734
AdellLF,3,0,1,1,0,0,2,.225,.620
Walsh1B,3,0,0,0,0,0,2,.221,.655
a-SuzukiPH,0,0,0,0,1,0,0,.187,.554
1-SierraPR,0,0,0,0,0,0,0,.197,.501
StassiC,4,0,0,0,0,0,2,.198,.612
"Velazquez, ASS",3,1,1,1,0,0,0,.184,.504
,32,3,7,3,2,6,11,,
