PITCHERS - LAA,IP,H,R,ER,BB,SO,HR,ERA
"Detmers(L, 4-4)",4.1,10,4,4,2,3,0,3.66
Barria,2.2,1,0,0,1,2,0,2.58
Loup,1.0,0,0,0,0,0,0,4.23
,8.0,11,4,4,3,5,0,
