BATTERS - NYY,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
LeMahieu2B,5,0,2,0,0,0,0,.292,.825
JudgeDH,2,0,0,0,3,1,0,.298,1.062
Rizzo1B,3,2,1,1,2,1,1,.230,.867
CarpenterRF,3,1,1,0,1,0,2,.321,1.228
1-LocastroPR-RF,0,0,0,0,0,0,0,.240,.801
a-TorresPH,1,0,0,0,0,1,3,.257,.778
Donaldson3B,3,2,2,3,1,0,1,.223,.693
BenintendiLF,4,0,0,0,0,3,3,.308,.765
TrevinoC,4,1,2,2,0,1,1,.265,.765
Kiner-FalefaSS,4,0,2,0,0,1,0,.272,.635
"Hicks, ACF",4,0,0,0,0,1,3,.226,.674
,33,6,10,6,7,9,14,,
