BATTERS - SEA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
FrazierRF-2B,3,2,2,1,2,0,0,.247,.623
WinkerLF,4,1,0,0,1,1,4,.226,.683
"Suárez, E3B",4,2,2,2,1,1,2,.234,.757
Santana1B,3,0,1,3,0,0,2,.204,.684
"Crawford, JSS",4,0,0,0,0,1,1,.259,.701
LewisDH,4,0,0,0,0,2,0,.170,.626
RaleighC,4,1,1,1,0,1,0,.204,.737
KelenicCF,2,0,0,0,0,1,0,.126,.463
a-HaggertyPH-CF-RF,2,2,2,1,0,0,0,.306,.879
Toro2B,3,0,0,0,0,0,0,.174,.552
JankowskiCF,1,0,0,0,0,1,1,.164,.445
,34,8,8,8,4,8,10,,
