BATTERS - WSH,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Hernández2B,4,1,2,0,0,1,0,.276,.576
"Soto, JRF",4,1,1,0,0,1,1,.280,.920
"Cruz, NDH",4,0,0,0,0,1,2,.167,.523
Bell1B,4,1,2,1,0,0,1,.346,1.048
Franco3B,4,0,2,1,0,1,1,.346,.884
"Thomas, LLF",3,0,0,1,0,0,2,.158,.401
"Escobar, ASS",4,0,0,0,0,2,2,.053,.106
AdamsC,3,0,0,0,0,2,0,.000,.000
RoblesCF,3,0,0,0,0,1,0,.000,.063
,33,3,7,3,0,9,9,,
