PITCHERS - ATL,IP,H,R,ER,BB,SO,HR,ERA
"Fried(L, 0-2)",5.1,7,3,2,0,4,0,5.73
McHugh,0.2,0,0,0,0,1,0,2.70
Minter,1.0,0,0,0,0,3,0,3.38
Matzek,1.0,0,0,0,0,0,0,0.00
Jansen,1.0,0,0,0,0,1,0,13.50
,9.0,7,3,2,0,9,0,
