PITCHERS - OAK,IP,H,R,ER,BB,SO,HR,ERA
"Martinez, A(W, 2-1)",5.0,8,3,3,0,5,2,6.00
"Puk(H, 8)",1.0,1,0,0,0,1,0,2.65
"Acevedo(H, 11)",1.0,0,0,0,0,0,0,3.19
"Jackson, Z(H, 15)",1.0,0,0,0,0,2,0,3.27
"Trivino(S, 6)",1.0,1,0,0,0,1,0,6.94
,9.0,10,3,3,0,9,2,
