PITCHERS - TOR,IP,H,R,ER,BB,SO,HR,ERA
"Kikuchi(L, 3-5)",2.1,2,4,4,5,0,0,5.12
Thornton,2.1,1,1,1,1,2,1,4.38
Phelps,1.1,0,0,0,0,1,0,3.00
"Richards, T",1.0,0,0,0,2,2,0,6.10
Mayza,1.0,1,0,0,0,0,0,2.86
,8.0,4,5,5,8,5,1,
