BATTERS - TOR,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SpringerCF,4,0,0,0,0,0,0,.250,.807
BichetteSS,4,0,1,0,0,2,0,.257,.719
KirkDH,4,0,1,0,0,1,0,.314,.903
"Hernández, TRF",4,1,2,1,0,1,0,.258,.760
Biggio1B,2,1,1,0,0,1,0,.239,.779
a-GuerreroPH-1B,2,0,0,0,0,1,2,.265,.843
"Chapman, M3B",4,1,3,2,0,0,0,.220,.700
"Tapia, RLF",4,0,2,0,0,1,2,.261,.654
Espinal2B,4,0,0,0,0,0,3,.268,.720
MorenoC,3,0,0,0,0,2,0,.280,.608
,35,3,10,3,0,9,7,,
