BATTERS - SEA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Frazier2B-RF,3,0,0,0,1,0,1,.227,.607
France1B,4,0,0,0,0,2,2,.317,.880
"Rodríguez, JCF",4,0,1,0,0,2,0,.263,.751
"Suárez, E3B",3,0,1,0,1,1,0,.232,.779
WinkerDH,3,0,2,0,1,1,2,.214,.634
"Moore, DSS",4,0,0,0,0,0,6,.203,.722
TorrensC,4,0,0,0,0,0,5,.221,.521
TrammellRF,2,0,1,0,0,0,0,.245,.843
a-ToroPH-2B,1,0,0,0,0,0,2,.168,.539
HaggertyLF,3,0,0,0,0,1,1,.214,.599
,31,0,5,0,3,7,19,,
