PITCHERS - STL,IP,H,R,ER,BB,SO,HR,ERA
"Wainwright(W, 4-3)",6.0,3,2,2,2,5,1,3.15
McFarland,1.0,1,0,0,0,1,0,6.00
VerHagen,1.0,0,0,0,1,0,0,4.76
Pujols,1.0,3,4,4,1,0,2,36.00
,9.0,7,6,6,4,6,3,
