BATTERS - SF,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Wade Jr.RF,5,0,0,0,0,2,1,.273,.802
Belt1B,3,0,0,0,0,0,1,.253,.808
Casali1B,0,0,0,0,1,0,0,.256,.719
Flores2B,4,1,1,0,0,1,1,.266,.746
PedersonDH,3,1,1,2,0,0,0,.244,.821
RufLF,0,1,0,0,1,0,0,.223,.618
YastrzemskiCF,2,0,0,0,1,1,0,.259,.728
SlaterCF,1,0,0,0,0,0,1,.259,.838
Longoria3B,4,0,2,0,0,0,1,.214,.500
"Crawford, BraSS",2,0,0,0,0,1,1,.211,.641
a-EstradaPH-SS,2,1,0,0,0,1,3,.238,.611
"Gonzalez, LLF-P",4,1,2,3,0,0,1,.349,.889
BartC,3,1,1,1,1,0,1,.185,.723
,33,6,7,6,4,6,11,,
