PITCHERS - HOU,IP,H,R,ER,BB,SO,HR,ERA
Javier,6.0,2,1,1,1,8,1,2.88
"Abreu, B",1.0,1,0,0,0,0,0,2.28
Montero,1.0,0,0,0,2,0,0,2.54
Pressly,1.0,0,0,0,0,0,0,2.70
"Neris(BS, 3)",1.0,2,2,1,0,1,0,3.42
"Stanek(L, 1-1)(BS, 3)",0.0,2,2,1,2,0,0,1.31
,10.0,7,5,3,5,9,1,
