PITCHERS - STL,IP,H,R,ER,BB,SO,HR,ERA
Quintana,5.2,4,1,1,1,4,0,3.34
"Hicks, J",1.1,1,1,1,0,1,1,5.01
"Romero, J",0.1,1,0,0,1,1,0,4.50
"Stratton(W, 8-4)",0.2,0,0,0,0,0,0,4.37
"Helsley(S, 16)",1.0,1,1,1,0,1,1,1.26
,9.0,7,3,3,2,7,2,
