BATTERS - PIT,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Cruz, ODH",4,0,0,1,0,2,2,.227,.737
"Reynolds, BCF",3,0,0,0,1,1,1,.254,.776
"Castro, R2B",4,0,1,0,0,1,1,.233,.707
Hayes3B,4,0,1,0,0,0,2,.242,.655
Chavis1B,3,0,0,0,1,0,3,.234,.673
SuwinskiLF,4,1,1,1,0,1,1,.210,.721
NewmanSS,4,0,1,0,0,1,1,.271,.677
"Allen, GRF",3,2,2,1,0,1,0,.208,.603
DelayC,3,0,1,0,0,0,1,.235,.577
a-GamelPH,1,0,0,0,0,0,0,.233,.692
,33,3,7,3,2,7,12,,
