PITCHERS - OAK,IP,H,R,ER,BB,SO,HR,ERA
Oller,1.1,5,5,5,3,3,2,33.75
Lemoine,2.1,2,1,1,0,2,1,5.40
Kolarek,1.1,3,1,1,2,0,0,6.75
"Jiménez, D",1.1,1,0,0,0,2,0,0.00
Snead,0.2,0,0,0,1,1,0,6.75
Acevedo,1.2,0,0,0,1,2,0,2.45
Moll,0.1,0,0,0,0,0,0,0.00
"Trivino(L, 0-1)(BS, 1)",0.2,2,2,1,1,1,0,10.80
,9.2,13,9,8,8,11,3,
