PITCHERS - TB,IP,H,R,ER,BB,SO,HR,ERA
"Romero, T",1.2,2,3,3,5,1,1,16.20
Springs,1.1,0,0,0,0,1,0,0.00
"Raley, B(H, 1)",2.0,1,0,0,0,2,0,0.00
"Wisler(H, 1)",1.0,1,1,0,1,2,0,2.70
"Garza Jr.(BS, 1)",3.0,3,3,3,3,1,0,9.00
"Thompson, R(W, 1-0)",1.0,1,1,0,0,1,0,0.00
,10.0,8,8,6,9,8,1,
