BATTERS - OAK,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Kemp2B,4,1,1,0,1,0,2,.333,.724
AndrusSS,3,1,0,0,2,0,1,.263,.943
LowrieDH,4,2,1,3,1,0,2,.333,1.067
"Murphy, SC",4,1,0,0,1,3,0,.095,.412
"Brown, SCF",3,2,2,1,2,0,0,.294,1.047
PinderLF,5,1,1,2,0,2,3,.263,.947
McKinney1B-RF,4,0,1,1,1,0,2,.143,.607
PiscottyRF,4,0,2,0,0,0,2,.364,.826
a-VogtPH-1B,1,0,0,0,0,0,0,.000,.125
Neuse3B,2,0,0,0,1,2,2,.375,1.250
1-PachePR,0,0,0,0,0,0,0,.267,.600
"Smith, K3B",1,0,0,0,0,1,0,.000,.000
,35,8,8,7,9,8,14,,
