Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2019,20,26.3,4.57,,33,3,427,37.6
2020,21,25.3,4.74,,36,10,416,17.0
2021,22,26.8,4.62,,19,13,376,44.4
2022,23,26.6,4.56,,18,30,417,33.2
