,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,706,638,90,175,32,97,8,.274,.339,.480,.819
4 Seasons,2161,1927,299,547,104,310,13,.284,.358,.504,.862
