PITCHERS - CWS,IP,H,R,ER,BB,SO,HR,ERA
"Cease(L, 2-1)",5.1,8,4,4,2,3,1,3.38
Sousa,0.2,1,0,0,0,0,0,3.00
Graveman,0.1,2,2,1,0,0,0,1.50
Foster,1.2,2,0,0,0,1,0,1.42
,8.0,13,6,5,2,4,1,
