Team,L,Type,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP
Charlotte Knights,Triple-A,Bases Empty,,,,3,,,8.0,32,5,,,0,4,17,1.13
Kannapolis Intimidators,Class A,Bases Empty,,,,1,,,4.2,15,2,,,0,0,5,0.43
Charlotte Knights,Triple-A,Bases Loaded,,,,1,,,0.0,1,1,,,0,0,0,-.--
Charlotte Knights,Triple-A,Runner at 1st,,,,3,,,1.2,6,2,,,0,0,1,1.20
Kannapolis Intimidators,Class A,Runner at 1st,,,,1,,,0.1,1,0,,,0,0,1,0.00
Charlotte Knights,Triple-A,Runners at 1st & 2nd,,,,2,,,0.2,3,1,,,0,0,1,1.50
Charlotte Knights,Triple-A,Runners at 1st & 3rd,,,,1,,,0.2,1,0,,,0,0,0,0.00
Charlotte Knights,Triple-A,Runner at 2nd,,,,3,,,0.2,4,1,,,0,1,1,3.00
Kannapolis Intimidators,Class A,Runner at 2nd,,,,1,,,0.0,1,1,,,0,0,0,-.--
Charlotte Knights,Triple-A,Runners at 2nd & 3rd,,,,2,,,1.0,3,0,,,0,0,2,0.00
Charlotte Knights,Triple-A,Scoring Position,,,,3,,,3.0,12,3,,,0,1,4,1.33
Kannapolis Intimidators,Class A,Scoring Position,,,,1,,,0.0,1,1,,,0,0,0,-.--
