Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2011,CLE,AL,P,3,0,4.1,0,0,0,0,0,,.000
2012,CLE,AL,P,12,12,63.0,14,9,5,0,1,,1.000
2013,CLE,AL,P,26,24,147.1,31,12,18,1,1,,.968
2014,CLE,AL,P,34,34,235.2,31,14,17,0,1,,1.000
2015,CLE,AL,P,32,32,222.0,41,16,25,0,2,,1.000
2016,CLE,AL,P,32,32,215.0,37,19,17,1,1,,.973
2017,CLE,AL,P,29,29,203.2,32,15,16,1,1,,.969
2018,CLE,AL,P,33,33,215.0,32,19,13,0,0,,1.000
2019,CLE,AL,P,7,7,35.2,3,0,3,0,0,,1.000
2020,TEX,AL,P,1,1,1.0,0,0,0,0,0,,.000
2021,NYY,AL,P,16,16,80.0,10,4,5,1,0,,.900
2022,TB,AL,P,31,31,164.0,17,7,9,1,1,,.941
12 Seasons,4 Teams,,P,256,251,1586.2,248,115,128,5,8,,.980
