PITCHERS - CWS,IP,H,R,ER,BB,SO,HR,ERA
"Giolito(L, 4-4)",5.0,11,7,7,1,3,2,5.40
Foster,1.2,2,2,2,0,2,1,5.46
Banks,2.1,0,0,0,0,0,0,3.68
,9.0,13,9,9,1,5,3,
