PITCHERS - AZ,IP,H,R,ER,BB,SO,HR,ERA
"Gilbert, T(L, 0-2)",5.2,7,6,6,2,6,4,5.02
Wendelken,0.2,1,1,1,0,1,0,6.75
"Nelson, K",0.2,1,0,0,0,1,0,1.23
"Smith, C",1.0,0,0,0,0,0,0,8.44
,8.0,9,7,7,2,8,4,
