PITCHERS - NYY,IP,H,R,ER,BB,SO,HR,ERA
Montgomery,6.1,7,2,2,1,8,0,3.24
"Abreu, A",1.2,0,0,0,0,0,0,2.13
"King(L, 6-3)",0.2,3,1,1,1,2,0,2.34
,8.2,10,3,3,2,10,0,
