BATTERS - COL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
JoeRF,4,0,2,0,1,1,1,.272,.758
DazaCF,5,0,0,0,0,1,5,.320,.751
CronDH,4,1,0,0,1,3,1,.296,.895
Rodgers2B,5,1,4,1,0,0,0,.255,.720
McMahon3B,5,0,2,1,0,1,4,.248,.735
IglesiasSS,4,0,1,0,1,2,2,.303,.725
"Díaz, EC",4,0,2,0,0,0,4,.223,.625
"Montero, E1B",4,0,1,0,0,2,2,.176,.411
BouchardLF,4,0,0,0,0,2,3,.000,.222
,39,2,12,2,3,12,22,,
