BATTERS - MIA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Berti3B,4,1,2,0,0,1,1,.286,.797
Chisholm Jr.2B,3,0,1,0,0,2,3,.249,.860
SolerLF,3,0,0,1,0,0,1,.218,.747
Astudillo1B,0,0,0,0,0,0,0,.281,.678
Cooper1B,4,0,1,0,0,0,2,.312,.841
"1-Williams, LPR-LF",0,1,0,0,0,0,0,.216,.545
AguilarDH,3,1,2,0,0,1,0,.261,.742
"García, AvRF",4,0,0,1,0,1,3,.230,.600
"Rojas, MSS",4,0,1,1,0,0,1,.244,.653
FortesC,3,0,0,0,0,0,1,.294,.929
De La CruzCF,3,0,2,0,0,0,0,.218,.602
,31,3,9,3,0,5,12,,
