PITCHERS - MIA,IP,H,R,ER,BB,SO,HR,ERA
"Garrett, B",4.2,9,2,1,1,7,0,4.08
Pop,1.1,1,0,0,0,1,0,6.23
Bass,1.0,1,0,0,1,1,0,1.86
"Okert(W, 5-0)",1.0,0,0,0,1,0,0,2.38
"Scott, Tan(S, 7)",1.0,1,0,0,0,3,0,4.50
,9.0,12,2,1,3,12,0,
