PITCHERS - TEX,IP,H,R,ER,BB,SO,HR,ERA
"Keuchel(L, 2-9)",4.2,7,7,7,3,6,0,9.20
Alexy,2.1,5,2,2,2,2,1,6.75
Culberson,1.0,1,0,0,1,0,0,0.00
,8.0,13,9,9,6,8,1,
